url,price,title,sqft_m2,rooms,bathrooms,floor,elevator,ac,terrace,furnished,heating,exterior,parking,storage,location,description,image_urls,num_images,zone,price_per_m2,floor_num
https://www.idealista.com/inmueble/900000000/,1030.0,Sample listing #1,48,2.0,2.0,planta 1ª,False,False,True,True,True,False,False,False,"Malasaña-Universidad, Madrid","Estudio céntrico cerca del metro, perfecto para una persona. Recientemente reformado con calidades modernas.","[""https://example.invalid/sample/0/0.jpg"", ""https://example.invalid/sample/0/1.jpg"", ""https://example.invalid/sample/0/2.jpg"", ""https://example.invalid/sample/0/3.jpg"", ""https://example.invalid/sample/0/4.jpg"", ""https://example.invalid/sample/0/5.jpg"", ""https://example.invalid/sample/0/6.jpg"", ""https://example.invalid/sample/0/7.jpg"", ""https://example.invalid/sample/0/8.jpg"", ""https://example.invalid/sample/0/9.jpg"", ""https://example.invalid/sample/0/10.jpg"", ""https://example.invalid/sample/0/11.jpg"", ""https://example.invalid/sample/0/12.jpg"", ""https://example.invalid/sample/0/13.jpg"", ""https://example.invalid/sample/0/14.jpg"", ""https://example.invalid/sample/0/15.jpg"", ""https://example.invalid/sample/0/16.jpg""]",17,Centro,21.46,1
https://www.idealista.com/inmueble/900000001/,2333.0,Sample listing #2,97,3.0,2.0,planta 4ª,True,False,False,False,True,True,True,True,"Conde Orgaz-Piovera, Madrid","Piso clásico en finca señorial, techos altos, suelos de tarima. Necesita pequeñas actualizaciones.","[""https://example.invalid/sample/1/0.jpg"", ""https://example.invalid/sample/1/1.jpg"", ""https://example.invalid/sample/1/2.jpg"", ""https://example.invalid/sample/1/3.jpg"", ""https://example.invalid/sample/1/4.jpg"", ""https://example.invalid/sample/1/5.jpg"", ""https://example.invalid/sample/1/6.jpg"", ""https://example.invalid/sample/1/7.jpg"", ""https://example.invalid/sample/1/8.jpg"", ""https://example.invalid/sample/1/9.jpg"", ""https://example.invalid/sample/1/10.jpg"", ""https://example.invalid/sample/1/11.jpg"", ""https://example.invalid/sample/1/12.jpg"", ""https://example.invalid/sample/1/13.jpg"", ""https://example.invalid/sample/1/14.jpg"", ""https://example.invalid/sample/1/15.jpg"", ""https://example.invalid/sample/1/16.jpg"", ""https://example.invalid/sample/1/17.jpg"", ""https://example.invalid/sample/1/18.jpg"", ""https://example.invalid/sample/1/19.jpg"", ""https://example.invalid/sample/1/20.jpg"", ""https://example.invalid/sample/1/21.jpg"", ""https://example.invalid/sample/1/22.jpg""]",23,Norte,24.05,4
https://www.idealista.com/inmueble/900000002/,2038.0,Sample listing #3,70,2.0,1.0,planta 3ª,True,True,True,False,True,False,False,False,"Pozuelo, Madrid","Piso clásico en finca señorial, techos altos, suelos de tarima. Necesita pequeñas actualizaciones.","[""https://example.invalid/sample/2/0.jpg"", ""https://example.invalid/sample/2/1.jpg"", ""https://example.invalid/sample/2/2.jpg"", ""https://example.invalid/sample/2/3.jpg"", ""https://example.invalid/sample/2/4.jpg"", ""https://example.invalid/sample/2/5.jpg"", ""https://example.invalid/sample/2/6.jpg"", ""https://example.invalid/sample/2/7.jpg"", ""https://example.invalid/sample/2/8.jpg"", ""https://example.invalid/sample/2/9.jpg"", ""https://example.invalid/sample/2/10.jpg"", ""https://example.invalid/sample/2/11.jpg"", ""https://example.invalid/sample/2/12.jpg"", ""https://example.invalid/sample/2/13.jpg"", ""https://example.invalid/sample/2/14.jpg"", ""https://example.invalid/sample/2/15.jpg"", ""https://example.invalid/sample/2/16.jpg"", ""https://example.invalid/sample/2/17.jpg"", ""https://example.invalid/sample/2/18.jpg"", ""https://example.invalid/sample/2/19.jpg"", ""https://example.invalid/sample/2/20.jpg"", ""https://example.invalid/sample/2/21.jpg"", ""https://example.invalid/sample/2/22.jpg"", ""https://example.invalid/sample/2/23.jpg"", ""https://example.invalid/sample/2/24.jpg"", ""https://example.invalid/sample/2/25.jpg""]",26,Oeste,29.11,3
https://www.idealista.com/inmueble/900000003/,2347.0,Sample listing #4,89,3.0,2.0,planta 1ª,True,False,False,False,True,True,False,True,"Hispanoamérica, Madrid","Apartamento moderno con terraza, vistas despejadas y excelente iluminación natural. Edificio con ascensor.","[""https://example.invalid/sample/3/0.jpg"", ""https://example.invalid/sample/3/1.jpg"", ""https://example.invalid/sample/3/2.jpg"", ""https://example.invalid/sample/3/3.jpg"", ""https://example.invalid/sample/3/4.jpg"", ""https://example.invalid/sample/3/5.jpg"", ""https://example.invalid/sample/3/6.jpg"", ""https://example.invalid/sample/3/7.jpg"", ""https://example.invalid/sample/3/8.jpg"", ""https://example.invalid/sample/3/9.jpg""]",10,Norte,26.37,1
https://www.idealista.com/inmueble/900000004/,2965.0,Sample listing #5,118,3.0,2.0,planta 4ª,True,True,True,True,True,True,False,True,"Hispanoamérica, Madrid","Piso clásico en finca señorial, techos altos, suelos de tarima. Necesita pequeñas actualizaciones.","[""https://example.invalid/sample/4/0.jpg"", ""https://example.invalid/sample/4/1.jpg"", ""https://example.invalid/sample/4/2.jpg"", ""https://example.invalid/sample/4/3.jpg"", ""https://example.invalid/sample/4/4.jpg"", ""https://example.invalid/sample/4/5.jpg"", ""https://example.invalid/sample/4/6.jpg"", ""https://example.invalid/sample/4/7.jpg"", ""https://example.invalid/sample/4/8.jpg""]",9,Norte,25.13,4
https://www.idealista.com/inmueble/900000005/,2386.0,Sample listing #6,89,3.0,2.0,planta 5ª,True,False,True,True,True,False,False,True,"Imperial, Madrid","Dúplex luminoso con tres dormitorios, dos baños y aseo de cortesía. Zona tranquila y bien comunicada.","[""https://example.invalid/sample/5/0.jpg"", ""https://example.invalid/sample/5/1.jpg"", ""https://example.invalid/sample/5/2.jpg"", ""https://example.invalid/sample/5/3.jpg"", ""https://example.invalid/sample/5/4.jpg"", ""https://example.invalid/sample/5/5.jpg"", ""https://example.invalid/sample/5/6.jpg"", ""https://example.invalid/sample/5/7.jpg"", ""https://example.invalid/sample/5/8.jpg"", ""https://example.invalid/sample/5/9.jpg"", ""https://example.invalid/sample/5/10.jpg"", ""https://example.invalid/sample/5/11.jpg"", ""https://example.invalid/sample/5/12.jpg"", ""https://example.invalid/sample/5/13.jpg"", ""https://example.invalid/sample/5/14.jpg"", ""https://example.invalid/sample/5/15.jpg"", ""https://example.invalid/sample/5/16.jpg"", ""https://example.invalid/sample/5/17.jpg"", ""https://example.invalid/sample/5/18.jpg""]",19,Arganzuela,26.81,5
https://www.idealista.com/inmueble/900000006/,2712.0,Sample listing #7,100,4.0,3.0,planta 2ª,True,True,True,False,False,True,False,False,"Aravaca, Madrid","Apartamento moderno con terraza, vistas despejadas y excelente iluminación natural. Edificio con ascensor.","[""https://example.invalid/sample/6/0.jpg"", ""https://example.invalid/sample/6/1.jpg"", ""https://example.invalid/sample/6/2.jpg"", ""https://example.invalid/sample/6/3.jpg"", ""https://example.invalid/sample/6/4.jpg"", ""https://example.invalid/sample/6/5.jpg"", ""https://example.invalid/sample/6/6.jpg"", ""https://example.invalid/sample/6/7.jpg"", ""https://example.invalid/sample/6/8.jpg"", ""https://example.invalid/sample/6/9.jpg"", ""https://example.invalid/sample/6/10.jpg"", ""https://example.invalid/sample/6/11.jpg"", ""https://example.invalid/sample/6/12.jpg"", ""https://example.invalid/sample/6/13.jpg"", ""https://example.invalid/sample/6/14.jpg"", ""https://example.invalid/sample/6/15.jpg"", ""https://example.invalid/sample/6/16.jpg"", ""https://example.invalid/sample/6/17.jpg"", ""https://example.invalid/sample/6/18.jpg"", ""https://example.invalid/sample/6/19.jpg"", ""https://example.invalid/sample/6/20.jpg"", ""https://example.invalid/sample/6/21.jpg"", ""https://example.invalid/sample/6/22.jpg"", ""https://example.invalid/sample/6/23.jpg"", ""https://example.invalid/sample/6/24.jpg""]",25,Oeste,27.12,2
https://www.idealista.com/inmueble/900000007/,1829.0,Sample listing #8,52,2.0,1.0,planta 6ª,True,True,False,True,False,False,False,False,"Almagro, Madrid","Vivienda completamente amueblada en zona prime, ideal para profesionales. Calefacción central y aire acondicionado.","[""https://example.invalid/sample/7/0.jpg"", ""https://example.invalid/sample/7/1.jpg"", ""https://example.invalid/sample/7/2.jpg"", ""https://example.invalid/sample/7/3.jpg"", ""https://example.invalid/sample/7/4.jpg"", ""https://example.invalid/sample/7/5.jpg"", ""https://example.invalid/sample/7/6.jpg"", ""https://example.invalid/sample/7/7.jpg"", ""https://example.invalid/sample/7/8.jpg"", ""https://example.invalid/sample/7/9.jpg"", ""https://example.invalid/sample/7/10.jpg"", ""https://example.invalid/sample/7/11.jpg"", ""https://example.invalid/sample/7/12.jpg"", ""https://example.invalid/sample/7/13.jpg"", ""https://example.invalid/sample/7/14.jpg"", ""https://example.invalid/sample/7/15.jpg"", ""https://example.invalid/sample/7/16.jpg"", ""https://example.invalid/sample/7/17.jpg"", ""https://example.invalid/sample/7/18.jpg"", ""https://example.invalid/sample/7/19.jpg"", ""https://example.invalid/sample/7/20.jpg""]",21,Chamberí,35.17,6
https://www.idealista.com/inmueble/900000008/,2671.0,Sample listing #9,76,2.0,1.0,planta 0ª,True,True,True,True,True,False,False,False,"Recoletos, Madrid","Ático con terraza panorámica, dos dormitorios, dos baños. Plaza de garaje y trastero incluidos.","[""https://example.invalid/sample/8/0.jpg"", ""https://example.invalid/sample/8/1.jpg"", ""https://example.invalid/sample/8/2.jpg"", ""https://example.invalid/sample/8/3.jpg"", ""https://example.invalid/sample/8/4.jpg"", ""https://example.invalid/sample/8/5.jpg"", ""https://example.invalid/sample/8/6.jpg"", ""https://example.invalid/sample/8/7.jpg"", ""https://example.invalid/sample/8/8.jpg"", ""https://example.invalid/sample/8/9.jpg"", ""https://example.invalid/sample/8/10.jpg"", ""https://example.invalid/sample/8/11.jpg"", ""https://example.invalid/sample/8/12.jpg"", ""https://example.invalid/sample/8/13.jpg"", ""https://example.invalid/sample/8/14.jpg"", ""https://example.invalid/sample/8/15.jpg"", ""https://example.invalid/sample/8/16.jpg"", ""https://example.invalid/sample/8/17.jpg"", ""https://example.invalid/sample/8/18.jpg"", ""https://example.invalid/sample/8/19.jpg"", ""https://example.invalid/sample/8/20.jpg""]",21,Salamanca-Retiro,35.14,0
https://www.idealista.com/inmueble/900000009/,1485.0,Sample listing #10,33,1.0,1.0,planta 1ª,True,False,False,True,True,True,False,False,"Trafalgar, Madrid","Apartamento moderno con terraza, vistas despejadas y excelente iluminación natural. Edificio con ascensor.","[""https://example.invalid/sample/9/0.jpg"", ""https://example.invalid/sample/9/1.jpg"", ""https://example.invalid/sample/9/2.jpg"", ""https://example.invalid/sample/9/3.jpg"", ""https://example.invalid/sample/9/4.jpg"", ""https://example.invalid/sample/9/5.jpg"", ""https://example.invalid/sample/9/6.jpg"", ""https://example.invalid/sample/9/7.jpg""]",8,Chamberí,45.0,1
